LevelofGovernment,StateorUS,GovernmentFunction,Data1,Data2,Data3,Data4,StateAbv,StateCode
State Only,Alabama,Total,88687,18.29952103,50802.81868,4505549580,AL,1
State Only,Alabama,Financial Administration,2463,0.508211128,52264.60414,128727720,AL,1
State Only,Alabama,Other Government Administration,629,0.129786764,61801.56439,38873184,AL,1
State Only,Alabama,Judicial and Legal,3195,0.659250732,54934.66291,175516248,AL,1
State Only,Alabama,Police Protection Total,1367,0.282064398,44907.51134,61388568,AL,1
State Only,Alabama,Police Officers Only,689,0.142167059,54245.0508,37374840,AL,1
State Only,Alabama,Other Police Employees,678,0.139897338,35418.47788,24013728,AL,1
State Only,Alabama,Fire Protection Total,0,0,0,0,AL,1
State Only,Alabama,Firefighters Only,0,0,0,0,AL,1
State Only,Alabama,Other Fire Employees,0,0,0,0,AL,1
State Only,Alabama,Corrections,4841,0.998883504,39967.70915,193483680,AL,1
State Only,Alabama,Highways,4217,0.870128431,40763.63291,171900240,AL,1
State Only,Alabama,Air Transportation,0,0,0,0,AL,1
State Only,Alabama,Water Transport and Terminals,584,0.120501542,58229.36301,34005948,AL,1
State Only,Alabama,Public Welfare,3954,0.815861469,41717.31108,164950248,AL,1
State Only,Alabama,Health,4342,0.895920713,49044.6246,212951760,AL,1
State Only,Alabama,Hospitals,11874,2.450060467,51027.56038,605901252,AL,1
State Only,Alabama,Social Insurance Administration,982,0.202624169,42898.41141,42126240,AL,1
State Only,Alabama,Solid Waste Management,0,0,0,0,AL,1
State Only,Alabama,Sewerage,0,0,0,0,AL,1
State Only,Alabama,Parks and Recreation,560,0.115549424,29114.57143,16304160,AL,1
State Only,Alabama,Housing and Community Development,0,0,0,0,AL,1
State Only,Alabama,Natural Resources,2002,0.413089191,44094.07792,88276344,AL,1
State Only,Alabama,Water Supply,0,0,0,0,AL,1
State Only,Alabama,Electric Power,0,0,0,0,AL,1
State Only,Alabama,Gas Supply,0,0,0,0,AL,1
State Only,Alabama,Transit,0,0,0,0,AL,1
State Only,Alabama,Education Total,44642,9.211352483,54703.53353,2442075144,AL,1
State Only,Alabama,Elementary & Secondary Education Total,0,0,0,0,AL,1
State Only,Alabama,Elem & Sec Instructional Employees,0,0,0,0,AL,1
State Only,Alabama,Elem & Sec Other Employees,0,0,0,0,AL,1
State Only,Alabama,Higher Education Total,41719,8.608225757,55251.97402,2305057104,AL,1
State Only,Alabama,Higher Ed Instructional Employees,12537,2.586862732,82915.22565,1039508184,AL,1
State Only,Alabama,Higher Ed Other Employees,29182,6.021363025,43367.4498,1265548920,AL,1
State Only,Alabama,Other Education,2923,0.603126726,46875.82621,137018040,AL,1
State Only,Alabama,Local Libraries,0,0,0,0,AL,1
State Only,Alabama,State Liquor Stores,749,0.154547355,32438.03471,24296088,AL,1
State Only,Alabama,All Other and Unallocable,2286,0.471689256,45832.35171,104772756,AL,1
State Only,Alaska,Total,27049,36.69920195,65529.19487,1772499192,AK,2
State Only,Alaska,Financial Administration,1113,1.510082139,72221.86523,80382936,AK,2
State Only,Alaska,Other Government Administration,752,1.0202891,67601.68085,50836464,AK,2
State Only,Alaska,Judicial and Legal,1503,2.039221433,76405.65269,114837696,AK,2
State Only,Alaska,Police Protection Total,696,0.944310124,81137.96552,56472024,AK,2
State Only,Alaska,Police Officers Only,310,0.4205979,107609.2645,33358872,AK,2
State Only,Alaska,Other Police Employees,386,0.523712224,59878.63212,23113152,AK,2
State Only,Alaska,Fire Protection Total,0,0,0,0,AK,2
State Only,Alaska,Firefighters Only,0,0,0,0,AK,2
State Only,Alaska,Other Fire Employees,0,0,0,0,AK,2
State Only,Alaska,Corrections,2238,3.036445486,68088.46113,152381976,AK,2
State Only,Alaska,Highways,3188,4.325374536,70086.5345,223435872,AK,2
State Only,Alaska,Air Transportation,0,0,0,0,AK,2
State Only,Alaska,Water Transport and Terminals,0,0,0,0,AK,2
State Only,Alaska,Public Welfare,1934,2.623988191,57628.6908,111453888,AK,2
State Only,Alaska,Health,736,0.998580821,69062.05435,50829672,AK,2
State Only,Alaska,Hospitals,255,0.345975692,62467.10588,15929112,AK,2
State Only,Alaska,Social Insurance Administration,324,0.439592644,59130.14815,19158168,AK,2
